# from hyperdrive demo https://github.com/MWATelescope/mwa-demo/blob/main/WORKSHOP_04.md
# https://ws.mwatelescope.org/metadata/find/?search=search&html=1&pagesize=300&tileset_name=&mintime=1099487727&maxtime=1099507609
# giant-squid submit-vis -w 1099487728 1099487848 1099487968 1099488088 1099488216 1099488336 1099488456 1099488576 1099488704 1099488824 1099488944 1099489064 1099489192 1099489312 1099489432 1099489552 1099489680 1099489800 1099489920 1099490040 1099490168 1099490288 1099490408 1099490528
# Obsid 	Start time (UTC) 	Duration (sec) 	Files 	Bad Tiles 	Good Tiles 	Data Quality 	Obs Name 	GroupID 	ProjectID 	RA/Dec 	Gal Long/Lat 	Az/El 	LST in deg 	Gridpoint 	Deletion Requests
1099487728, # 	2014-11-08T13:15:12.000 	112 	26 	1 	127 Good low_season2_2456969 	1099487728 	G0009 	0.0 / -27.0 	30.6 / -78.6 	0.0 / 90.0 	3.1 	0
1099487848, # 	2014-11-08T13:17:12.000 	112 	26 	1 	127 Good low_season2_2456969 	1099487848 	G0009 	0.0 / -27.0 	30.6 / -78.6 	0.0 / 90.0 	3.6 	0
1099487968, # 	2014-11-08T13:19:12.000 	112 	26 	1 	127 Good low_season2_2456969 	1099487968 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	4.1 	2
1099488088, # 	2014-11-08T13:21:12.000 	112 	26 	1 	127 Good low_season2_2456969 	1099488088 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	4.6 	2
1099488216, # 	2014-11-08T13:23:20.000 	112 	26 	1 	127 Good low_season2_2456969 	1099488216 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	5.2 	2
1099488336, # 	2014-11-08T13:25:20.000 	112 	26 	1 	127 Good low_season2_2456969 	1099488336 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	5.7 	2
1099488456, # 	2014-11-08T13:27:20.000 	112 	26 	1 	127 Good low_season2_2456969 	1099488456 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	6.2 	2
1099488576, # 	2014-11-08T13:29:20.000 	112 	26 	1 	127 Good low_season2_2456969 	1099488576 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	6.7 	2
1099488704, # 	2014-11-08T13:31:28.000 	112 	26 	1 	127 Good low_season2_2456969 	1099488704 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	7.2 	2
1099488824, # 	2014-11-08T13:33:28.000 	112 	26 	1 	127 Good low_season2_2456969 	1099488824 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	7.7 	2
1099488944, # 	2014-11-08T13:35:28.000 	112 	26 	1 	127 Good low_season2_2456969 	1099488944 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	8.2 	2
1099489064, # 	2014-11-08T13:37:28.000 	112 	26 	1 	127 Good low_season2_2456969 	1099489064 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	8.7 	2
1099489192, # 	2014-11-08T13:39:36.000 	112 	26 	1 	127 Good low_season2_2456969 	1099489192 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	9.2 	2
1099489312, # 	2014-11-08T13:41:36.000 	112 	26 	1 	127 Good low_season2_2456969 	1099489312 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	9.7 	2
1099489432, # 	2014-11-08T13:43:36.000 	112 	26 	1 	127 Good low_season2_2456969 	1099489432 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	10.2 	2
1099489552, # 	2014-11-08T13:45:36.000 	112 	26 	1 	127 Good low_season2_2456969 	1099489552 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	10.7 	2
1099489680, # 	2014-11-08T13:47:44.000 	112 	26 	1 	127 Good low_season2_2456969 	1099489680 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 83.2 	11.3 	2
1099489800, # 	2014-11-08T13:49:44.000 	112 	26 	1 	127 Good low_season2_2456969 	1099489800 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 76.3 	11.8 	4
1099489920, # 	2014-11-08T13:51:44.000 	112 	26 	1 	127 Good low_season2_2456969 	1099489920 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 76.3 	12.3 	4
1099490040, # 	2014-11-08T13:53:44.000 	112 	26 	1 	127 Good low_season2_2456969 	1099490040 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 76.3 	12.8 	4
1099490168, # 	2014-11-08T13:55:52.000 	112 	26 	1 	127 Good low_season2_2456969 	1099490168 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 76.3 	13.3 	4
1099490288, # 	2014-11-08T13:57:52.000 	112 	26 	1 	127 Good low_season2_2456969 	1099490288 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 76.3 	13.8 	4
1099490408, # 	2014-11-08T13:59:52.000 	112 	26 	1 	127 Good low_season2_2456969 	1099490408 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 76.3 	14.3 	4
1099490528, # 	2014-11-08T14:01:52.000 	112 	26 	1 	127 Good low_season2_2456969 	1099490528 	G0009 	0.0 / -27.0 	30.6 / -78.6 	270.0 / 76.3 	14.8 	4
